ncesid,state_id,District,ADM,ADM_persqmile,stpov_count,stpov_rate,ELL_count,ELL_rate,sr_BEP,srpp_BEP,lr_BEP,lrpp_BEP,slr_BEP,slrpp_BEP,lr,lrpp,lr_pct,sr,srpp,sr_pct,slr,slrpp,perpupil_transp,total_transport_aid,transp_cost_perpupil
4701290,260,Franklin County,5063.91102,538.2558482142857,1618,0.31951588280474963,116,0.022907195553368946,26776000,5287.612656353508,19174000,3786.401444312898,45950000,9074.014100666407,17651525.729999997,3485.0001441263566,0.3349479541249673,28349958.760000005,5597.227790720633,0.5379569353628446,46001484.49,9082.22793484699,5240.9948091666665,2157060.510124801,411.57463204352615
4701260,941,Franklin Special School District,3456.5699999999997,19.454672347514816,461,0.13336920704629157,487,0.1408911146020477,14882000,4305.424163260111,44488000,12870.562436172277,59370000,17175.986599432388,45449941.160000004,13052.826295232626,0.7108178555154118,15454854,4438.499138426192,0.24170737953016488,60904795.160000004,17491.325433658818,3496.7864491666674,1321025.611961366,377.7827531550246
4700151,796,Germantown,6024.301794999999,19.65835142763909,212,0.035190800065155105,153,0.02539713400928647,28938000,4803.544208893672,34638000,5749.71194649454,63576000,10553.256155388211,37729347.480000004,6193.261240971767,0.5379232698409816,29414539.640000004,4828.387990807617,0.41937553657410803,67143887.12,11021.649231779384,5870.599665833332,1257739.4480121396,214.24377740014117
4701400,275,Gibson County Special School District,3881.838,322.4117940199336,859,0.22128692645082046,25,0.006440248150489536,22781000,5868.611724652084,13250000,3413.331519759454,36031000,9281.94324441154,11275726.05,2899.389573155053,0.29497660247133406,23727182.18,6101.101100539984,0.6207106801494864,35002908.230000004,9000.490673695038,3929.2104841666664,1272995.466575224,323.98250786129864
4701410,280,Giles County,3613.3587825,586.7747292140305,1460,0.40405619477118726,47,0.013007288461812191,18911000,5233.63472556022,12810000,3545.1779828896633,31721000,8778.812708449885,11446620.9,3134.3430722891567,0.31004098807727,21010763.259999994,5753.221046002189,0.5690935218609363,32457384.159999996,8887.564118291346,3789.562086666667,1543148.4899386857,407.2102408265471
4701440,290,Grainger County,3299.8965132499993,292.9075548775075,1099,0.33304074706197917,69,0.0209097466308249,21977000,6659.905821820852,6416000,1944.3033968604716,28393000,8604.209218681324,4866874.88,1512.3911995027968,0.15092834235931904,23471482,7293.810441267869,0.7278822567504744,28338356.88,8806.201640770665,3436.6662910833334,1474107.9944115,428.93544777279493
4701470,300,Greene County,6273.026677500001,572.6699541263466,2216,0.3532585008682198,79,0.012593601790879677,34087000,5433.900053743235,20138000,3210.2525679080372,54225000,8644.152621651272,17691603.24,2887.4821674555246,0.28771006678741506,36693966.7,5988.896148196508,0.5967363989987482,54385569.94,8876.378315652031,6545.395125833333,2841630.851907323,434.14198795913615
4701500,301,Greeneville City,2808.9024999999997,16.517320561220288,811,0.2887248667406576,93,0.03310901677790525,15382000,5476.16017287891,15752000,5607.884218124339,31134000,11084.044391003248,15027735.72,5304.53078715143,0.43484318838750907,16122445.07,5690.944253441581,0.46651974385674627,31150180.79,10995.47504059301,2753.8250399999997,614664.8073453081,223.20401565718504
4701530,310,Grundy County,1871.2289649999998,333.49295401889145,581,0.3104911322276374,8,0.004275265159760928,12971000,6931.808048407374,3041000,1625.1351688541226,16012000,8556.943217261498,2329076.76,1258.9604108108108,0.11428777774897367,14448766.360000001,7810.143978378379,0.709000848258229,16777843.12,9069.10438918919,2019.9396733333333,863304.5702313926,427.3912640206502
4700001,320,Hamblen County,10203.112950000002,170.63488502383146,4107,0.4025242119857155,1429,0.1400552955752587,55910000,5479.700192871038,36269000,3554.6994508180946,92179000,9034.399643689132,40223160.8,3936.88566115298,0.3699092724295359,57063927.00000001,5585.193990408144,0.5247841119075395,97287087.80000001,9522.079651561126,10159.275921666665,3081562.594661986,303.3250222183595
